1328,126959
1564,795849
1385,409875
1151,002154
1337,925353
1497,714539
1137,435147
1220,344631
1395,208269
1757,748829
1268,582876
1537,661836
1158,53938
1382,394985
1253,508424
1423,849727
1699,71219
1334,910463
1469,073081
1539,923004
1291,948276
1401,238049
1180,397334
1668,809564
1539,169281
1616,802707
1758,502551
1178,136167
1475,856585
1319,082289
1116,330915
1867,038602
1508,266655
1720,0627
686,709046
980,660851
1403,499217
1466,058191
1491,684759
1371,089146
1340,940243
1094,47296
1571,579352
1417,819946
1515,803881
1394,454546
1457,767243
1019,854425
1071,861283
1423,849727
1815,785467
1602,481978
1239,187695
1641,675552
910,564652
1449,476294
1578,362855
1613,787816
1251,247257
1444,953959
1843,673202
1543,691617
1212,053683
1914,523125
1876,083273
1537,661836
1508,266655
1476,610307
1182,658502
1346,216301
1676,34679
1634,138326
1334,15674
1341,693966
1938,642247
1724,585035
1587,407526
1407,26783
1226,374412
1486,408701
965,5864
1285,164773
1684,637739
1510,527823
1563,288404
1473,595417
1429,125785
1591,176139
1577,609133
1628,862268
1651,473945
1438,924178
1905,478454
1381,641262
1545,199062
1525,602275
1900,202396
1518,818772
1593,437307
1576,101687
1159,293102
1146,479818
1219,590908
1342,447688
1668,055842
1943,918305
1450,230017
1656,750003
1598,713365
1609,265481
1729,107371
1879,851886
1629,61599
1609,265481
1541,430449
1217,329741
1684,637739
1443,446514
2329,824265
1800,711015
2138,37873
1337,17163
1428,372062
1584,392636
1367,320533
1352,246082
1518,065049
1843,673202
2203,198872
1394,454546
1858,747654
2549,157535
2277,063684
2035,87246
1656,750003
1743,4281
1060,555444
1798,449848
1538,415559
1870,807215
1787,897732
1723,07759
2284,60091
1802,972183
1505,251765
2704,424386
2017,029395
1925,828963
2102,200046
1399,730604
1348,477469
1854,225318
1703,480803
1388,424766
1863,269989
1581,377745
1569,318184
1830,106196
1622,078765
2017,783118
1848,94926
2060,745305
1758,502551
1751,719048
1062,816612
1744,935545
1718,555255
2007,984724
2032,857569
1741,920654
1761,517441
1554,997455
2127,826614
2672,014315
2313,242368
1250,493534
1646,95161
1806,740796
1689,160074
1637,153216
1588,161249
1496,960817
1498,468262
1815,031744
2013,260782
2337,36149
2652,417528
1845,180647
2054,715524
1775,83817
1567,057016
1610,019203
1575,347965
1812,770577
1659,011171
2118,781943
1995,17144
2045,670853
2177,572304
1754,733938
2340,376381
2230,332885
1546,706507
1435,155565
1772,82328
1711,771751
1929,597576
1670,31701
1288,933385
2167,773911
1588,161249
1947,686918
1594,191029
2137,625008
1946,179473
1588,914971
2257,466897
1816,53919
1601,728255
1614,541539
1655,996281
1747,950435
1949,948086
2168,527633
1815,785467
1971,052318
2059,237859
1541,430449
1750,211603
1961,253924
1441,185346
1625,093655
1499,221985
1518,818772
1563,288404
2238,623833
2191,13931
2348,667329
2171,542523
1910,754512
1726,09248
1313,80623
2060,745305
2203,952594
1444,200236
1678,607958
1681,622848
1371,089146
1925,075241
1402,745495
1603,989423
1277,627547
1781,114228
1826,337583
2132,348949
1657,503726
1291,948276
1580,624023
1301,746669
1781,867951
1790,912622
1304,007837
1319,836011
1524,09483
1383,148708
1422,342282
1855,732764
1454,752352
1568,564462
1279,888715
1666,548397
1461,535856
1986,126769
1628,862268
1548,967675
1869,29977
937,698664
1274,612656
1623,58621
1542,184171
1358,275863
1958,239034
1398,976882
1319,836011
1362,044475
807,304659
1123,868141
1517,311326
1488,669868
1484,901256
1663,533506
1558,766068
1327,373237
1815,031744
2101,446324
1971,052318
1446,461404
1509,774101
1686,898906
1375,611482
1379,380095
1676,34679
1328,126959
1561,027236
1539,169281
1319,836011
1515,803881
1255,015869
1183,412225
1136,681425
1491,684759
1222,605799
1758,502551
1469,826804
1534,646946
1591,176139
636,209633
1344,708856
1125,375586
1246,724921
912,072097
1270,844044
1327,373237
1458,520965
1181,904779
1359,029585
1286,672218
1221,852076
840,468452
1729,861093
1294,963166
1693,682409
978,399684
909,057206
1619,063874
1147,987263
1524,848552
1457,767243
1544,445339
1770,562112
1031,913987
1583,638913
1012,3172
1276,120102
1711,018029
1699,71219
1142,711205
1287,42594
1583,638913
1093,719238
1233,911637
1346,970024
1909,247067
1463,043301
1408,021553
1790,912622
1609,265481
1719,308977
1348,477469
892,47531
1282,903605
1298,731779
990,459245
1166,830328
1545,952784
1033,421432
1546,706507
1265,567986
1405,006662
1445,707682
1126,883031
1224,866966
1558,766068
1594,944752
1321,343456
1438,170456
1183,412225
1333,403017
1070,353838
1585,900081
1113,316025
1225,620689
1685,391461
1731,368538
1746,44299
661,836201
1209,792515
1356,014695
1392,947101
1743,4281
1907,739621
706,305833
1311,545063
1745,689267
1772,069557
2064,513918
1429,879507
1628,108545
1227,128134
1499,975707
1708,003138
1107,286244
1431,386953
1640,168106
1448,722572
1295,716889
1794,681235
1518,065049
1057,540554
1310,79134
1659,764893
1545,952784
1725,338758
1484,147533
1047,742161
1218,837186
1300,239224
1084,674567
1357,52214
1511,281546
1141,20376
1473,595417
1521,079939
1471,334249
1380,133817
1264,814263
1004,026251
1438,170456
1932,612466
